d,wth
1016.000,25.4
1066.800,25.4
1117.600,25.4
1168.400,25.4
1219.200,25.4
1320.800,25.4
1422.400,25.4
1524.000,25.4
1625.600,25.4
1727.200,25.4
1828.800,25.4
1930.400,25.4
2032.000,25.4
2235.200,25.4
2336.800,25.4
2438.400,25.4
2540.000,25.4
2641.600,25.4
2743.200,25.4
660.400,12.700
711.200,15.875
762.000,15.875
812.800,17.475
863.600,17.475
914.400,19.05
273.05,28.575
323.85,33.325
355.60,35.712
406.40,40.488
457.20,45.237
508.00,49.987
558.80,53.975
609.60,59.512
114.30,17.120
127.00,18.034
141.30,19.050
168.28,21.946
193.68,22.225
219.08,22.225
244.48,12.700
10.29,2.413
13.72,3.023
17.15,3.200
21.34,7.468
26.67,7.823
33.40,9.093
42.16,9.703
48.26,10.160
60.33,11.074
73.03,14.021
88.90,15.240
101.60,16.154
